release_id,period_code,period,period_end,coverage_scope,seasonal_adjustment,metric_id,metric_label_ja,industry_code,industry_name,raw_value_oku_yen,raw_lag4_value_oku_yen,raw_yoy_delta_oku_yen,raw_yoy_pct,total_yoy_delta_oku_yen,contribution_pct_to_net_change,rank_by_yoy_delta,component_type,taxonomy,contribution_denominator,source_table_number,estat_sid,source_path,source_sha256
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,operating_profit,営業利益,135,電気業,939.62,2504.53,-1564.9100000000003,-62.48318047697572,25970.25,-6.0257794976944785,9,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,operating_profit,営業利益,137,サービス業(集約),42429.32,45087.77,-2658.449999999997,-5.896166521431423,25970.25,-10.236520634187183,10,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,operating_profit,営業利益,107,建設業,37579.29,40905.71,-3326.4199999999983,-8.131920946977822,25970.25,-12.808579047178977,11,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,ordinary_profit,経常利益,108,製造業,129231.15,90447.82,38783.32999999999,42.87923136234792,41576.869999999995,93.28102380001187,1,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,ordinary_profit,経常利益,129,卸売業・小売業(集約),50390.43,47205.72,3184.709999999999,6.746449370966068,41576.869999999995,7.659811813635802,2,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,ordinary_profit,経常利益,134,運輸業、郵便業(集約),8632.9,5735.09,2897.8099999999995,50.52771621718228,41576.869999999995,6.969764679255556,3,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,ordinary_profit,経常利益,155,不動産業、物品賃貸業(集約),28884.13,26226.49,2657.6399999999994,10.133418539804605,41576.869999999995,6.392111767913265,4,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,ordinary_profit,経常利益,105,農林水産業(集約),687.56,171.71,515.8499999999999,300.41931163007393,41576.869999999995,1.2407138873128256,5,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,ordinary_profit,経常利益,142,情報通信業,23103.3,23062.11,41.18999999999869,0.17860464632246664,41576.869999999995,0.09906950667522277,6,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,ordinary_profit,経常利益,106,鉱業、採石業、砂利採取業,1537.53,1748.7,-211.17000000000007,-12.075827757762914,41576.869999999995,-0.5079025910319851,7,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
