check_id,taxonomy,scope,parent_major_code,industry_code,capital_size_code,metric_id,measure,expected_oku_yen,actual_oku_yen,difference_oku_yen,tolerance_oku_yen,status
leaf_parent_108_26_capex_excluding_software_previous,leaf,CHILDREN_TO_MAJOR_PARENT,108,,26,capex_excluding_software,previous,55975.11,55975.11,0.0,0.01,PASS
leaf_parent_108_26_capex_excluding_software_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,108,,26,capex_excluding_software,yoy_delta,-688.3000000000029,-688.2999999999988,4.092726157978177e-12,0.01,PASS
leaf_parent_108_19_sales_current,leaf,CHILDREN_TO_MAJOR_PARENT,108,,19,sales,current,273315.33,273315.33,0.0,0.01,PASS
leaf_parent_108_19_sales_previous,leaf,CHILDREN_TO_MAJOR_PARENT,108,,19,sales,previous,265557.29,265557.29,0.0,0.01,PASS
leaf_parent_108_19_sales_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,108,,19,sales,yoy_delta,7758.040000000037,7758.040000000002,-3.54702933691442e-11,0.01,PASS
leaf_parent_108_19_operating_profit_current,leaf,CHILDREN_TO_MAJOR_PARENT,108,,19,operating_profit,current,16840.42,16840.42,0.0,0.01,PASS
leaf_parent_108_19_operating_profit_previous,leaf,CHILDREN_TO_MAJOR_PARENT,108,,19,operating_profit,previous,10165.85,10165.85,0.0,0.01,PASS
leaf_parent_108_19_operating_profit_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,108,,19,operating_profit,yoy_delta,6674.569999999998,6674.57,1.8189894035458565e-12,0.01,PASS
leaf_parent_108_19_ordinary_profit_current,leaf,CHILDREN_TO_MAJOR_PARENT,108,,19,ordinary_profit,current,19226.77,19226.77,0.0,0.01,PASS
leaf_parent_108_19_ordinary_profit_previous,leaf,CHILDREN_TO_MAJOR_PARENT,108,,19,ordinary_profit,previous,13001.41,13001.41,0.0,0.01,PASS
leaf_parent_108_19_ordinary_profit_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,108,,19,ordinary_profit,yoy_delta,6225.360000000001,6225.360000000001,0.0,0.01,PASS
leaf_parent_108_19_capex_including_software_current,leaf,CHILDREN_TO_MAJOR_PARENT,108,,19,capex_including_software,current,9355.54,9355.54,0.0,0.01,PASS
leaf_parent_108_19_capex_including_software_previous,leaf,CHILDREN_TO_MAJOR_PARENT,108,,19,capex_including_software,previous,9487.02,9487.02,0.0,0.01,PASS
leaf_parent_108_19_capex_including_software_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,108,,19,capex_including_software,yoy_delta,-131.47999999999956,-131.4799999999999,-3.410605131648481e-13,0.01,PASS
leaf_parent_108_19_capex_excluding_software_current,leaf,CHILDREN_TO_MAJOR_PARENT,108,,19,capex_excluding_software,current,8716.79,8716.79,0.0,0.01,PASS
leaf_parent_108_19_capex_excluding_software_previous,leaf,CHILDREN_TO_MAJOR_PARENT,108,,19,capex_excluding_software,previous,9182.94,9182.94,0.0,0.01,PASS
leaf_parent_108_19_capex_excluding_software_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,108,,19,capex_excluding_software,yoy_delta,-466.14999999999964,-466.15,-3.410605131648481e-13,0.01,PASS
leaf_parent_108_24_sales_current,leaf,CHILDREN_TO_MAJOR_PARENT,108,,24,sales,current,220229.84,220229.84,0.0,0.01,PASS
leaf_parent_108_24_sales_previous,leaf,CHILDREN_TO_MAJOR_PARENT,108,,24,sales,previous,219197.52,219197.52,0.0,0.01,PASS
leaf_parent_108_24_sales_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,108,,24,sales,yoy_delta,1032.320000000007,1032.3199999999954,-1.1596057447604835e-11,0.01,PASS
leaf_parent_108_24_operating_profit_current,leaf,CHILDREN_TO_MAJOR_PARENT,108,,24,operating_profit,current,11633.74,11633.74,0.0,0.01,PASS
leaf_parent_108_24_operating_profit_previous,leaf,CHILDREN_TO_MAJOR_PARENT,108,,24,operating_profit,previous,8173.26,8173.26,0.0,0.01,PASS
leaf_parent_108_24_operating_profit_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,108,,24,operating_profit,yoy_delta,3460.4799999999996,3460.48,4.547473508864641e-13,0.01,PASS
leaf_parent_108_24_ordinary_profit_current,leaf,CHILDREN_TO_MAJOR_PARENT,108,,24,ordinary_profit,current,12847.7,12847.7,0.0,0.01,PASS
leaf_parent_108_24_ordinary_profit_previous,leaf,CHILDREN_TO_MAJOR_PARENT,108,,24,ordinary_profit,previous,10249.91,10249.91,0.0,0.01,PASS
leaf_parent_108_24_ordinary_profit_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,108,,24,ordinary_profit,yoy_delta,2597.790000000001,2597.79,-9.094947017729282e-13,0.01,PASS
leaf_parent_108_24_capex_including_software_current,leaf,CHILDREN_TO_MAJOR_PARENT,108,,24,capex_including_software,current,10823.36,10823.36,0.0,0.01,PASS
leaf_parent_108_24_capex_including_software_previous,leaf,CHILDREN_TO_MAJOR_PARENT,108,,24,capex_including_software,previous,11361.0,11361.0,0.0,0.01,PASS
leaf_parent_108_24_capex_including_software_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,108,,24,capex_including_software,yoy_delta,-537.6399999999994,-537.6399999999999,-4.547473508864641e-13,0.01,PASS
leaf_parent_108_24_capex_excluding_software_current,leaf,CHILDREN_TO_MAJOR_PARENT,108,,24,capex_excluding_software,current,10022.59,10022.59,0.0,0.01,PASS
leaf_parent_108_24_capex_excluding_software_previous,leaf,CHILDREN_TO_MAJOR_PARENT,108,,24,capex_excluding_software,previous,10585.35,10585.35,0.0,0.01,PASS
leaf_parent_108_24_capex_excluding_software_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,108,,24,capex_excluding_software,yoy_delta,-562.7600000000002,-562.7600000000002,0.0,0.01,PASS
leaf_parent_108_25_sales_current,leaf,CHILDREN_TO_MAJOR_PARENT,108,,25,sales,current,731775.47,731775.47,0.0,0.01,PASS
leaf_parent_108_25_sales_previous,leaf,CHILDREN_TO_MAJOR_PARENT,108,,25,sales,previous,687903.04,687903.04,0.0,0.01,PASS
leaf_parent_108_25_sales_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,108,,25,sales,yoy_delta,43872.429999999935,43872.429999999986,5.093170329928398e-11,0.01,PASS
leaf_parent_108_25_operating_profit_current,leaf,CHILDREN_TO_MAJOR_PARENT,108,,25,operating_profit,current,60155.24,60155.24,0.0,0.01,PASS
leaf_parent_108_25_operating_profit_previous,leaf,CHILDREN_TO_MAJOR_PARENT,108,,25,operating_profit,previous,42537.72,42537.72,0.0,0.01,PASS
leaf_parent_108_25_operating_profit_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,108,,25,operating_profit,yoy_delta,17617.519999999997,17617.52,3.637978807091713e-12,0.01,PASS
leaf_parent_108_25_ordinary_profit_current,leaf,CHILDREN_TO_MAJOR_PARENT,108,,25,ordinary_profit,current,97156.68,97156.68,0.0,0.01,PASS
leaf_parent_108_25_ordinary_profit_previous,leaf,CHILDREN_TO_MAJOR_PARENT,108,,25,ordinary_profit,previous,67196.5,67196.5,0.0,0.01,PASS
leaf_parent_108_25_ordinary_profit_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,108,,25,ordinary_profit,yoy_delta,29960.179999999993,29960.18,7.275957614183426e-12,0.01,PASS
leaf_parent_108_25_capex_including_software_current,leaf,CHILDREN_TO_MAJOR_PARENT,108,,25,capex_including_software,current,41802.01,41802.01,0.0,0.01,PASS
leaf_parent_108_25_capex_including_software_previous,leaf,CHILDREN_TO_MAJOR_PARENT,108,,25,capex_including_software,previous,41403.67,41403.67,0.0,0.01,PASS
leaf_parent_108_25_capex_including_software_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,108,,25,capex_including_software,yoy_delta,398.3400000000038,398.3400000000006,-3.183231456205249e-12,0.01,PASS
leaf_parent_108_25_capex_excluding_software_current,leaf,CHILDREN_TO_MAJOR_PARENT,108,,25,capex_excluding_software,current,36547.43,36547.43,0.0,0.01,PASS
leaf_parent_108_25_capex_excluding_software_previous,leaf,CHILDREN_TO_MAJOR_PARENT,108,,25,capex_excluding_software,previous,36206.82,36206.82,0.0,0.01,PASS
leaf_parent_108_25_capex_excluding_software_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,108,,25,capex_excluding_software,yoy_delta,340.6100000000006,340.6099999999988,-1.7621459846850485e-12,0.01,PASS
leaf_parent_105_26_sales_current,leaf,CHILDREN_TO_MAJOR_PARENT,105,,26,sales,current,8943.91,8943.91,0.0,0.01,PASS
leaf_parent_105_26_sales_previous,leaf,CHILDREN_TO_MAJOR_PARENT,105,,26,sales,previous,10842.93,10842.93,0.0,0.01,PASS
leaf_parent_105_26_sales_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,105,,26,sales,yoy_delta,-1899.0200000000004,-1899.0199999999993,1.1368683772161603e-12,0.01,PASS
leaf_parent_105_26_operating_profit_current,leaf,CHILDREN_TO_MAJOR_PARENT,105,,26,operating_profit,current,297.97,297.97,0.0,0.01,PASS
leaf_parent_105_26_operating_profit_previous,leaf,CHILDREN_TO_MAJOR_PARENT,105,,26,operating_profit,previous,-125.41,-125.41,0.0,0.01,PASS
leaf_parent_105_26_operating_profit_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,105,,26,operating_profit,yoy_delta,423.38,423.38,0.0,0.01,PASS
leaf_parent_105_26_ordinary_profit_current,leaf,CHILDREN_TO_MAJOR_PARENT,105,,26,ordinary_profit,current,687.56,687.5600000000001,1.1368683772161603e-13,0.01,PASS
leaf_parent_105_26_ordinary_profit_previous,leaf,CHILDREN_TO_MAJOR_PARENT,105,,26,ordinary_profit,previous,171.71,171.70999999999998,-2.842170943040401e-14,0.01,PASS
leaf_parent_105_26_ordinary_profit_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,105,,26,ordinary_profit,yoy_delta,515.8499999999999,515.85,1.1368683772161603e-13,0.01,PASS
leaf_parent_105_26_capex_including_software_current,leaf,CHILDREN_TO_MAJOR_PARENT,105,,26,capex_including_software,current,486.45,486.45,0.0,0.01,PASS
leaf_parent_105_26_capex_including_software_previous,leaf,CHILDREN_TO_MAJOR_PARENT,105,,26,capex_including_software,previous,554.6,554.6,0.0,0.01,PASS
leaf_parent_105_26_capex_including_software_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,105,,26,capex_including_software,yoy_delta,-68.15000000000003,-68.15000000000003,0.0,0.01,PASS
leaf_parent_105_26_capex_excluding_software_current,leaf,CHILDREN_TO_MAJOR_PARENT,105,,26,capex_excluding_software,current,470.6,470.59999999999997,-5.684341886080802e-14,0.01,PASS
leaf_parent_105_26_capex_excluding_software_previous,leaf,CHILDREN_TO_MAJOR_PARENT,105,,26,capex_excluding_software,previous,549.7,549.7,0.0,0.01,PASS
leaf_parent_105_26_capex_excluding_software_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,105,,26,capex_excluding_software,yoy_delta,-79.10000000000002,-79.10000000000005,-2.842170943040401e-14,0.01,PASS
leaf_parent_105_19_sales_current,leaf,CHILDREN_TO_MAJOR_PARENT,105,,19,sales,current,6577.85,6577.85,0.0,0.01,PASS
leaf_parent_105_19_sales_previous,leaf,CHILDREN_TO_MAJOR_PARENT,105,,19,sales,previous,8569.1,8569.1,0.0,0.01,PASS
