year,pref,計,針葉樹_計,針葉樹_あかまつ・くろまつ,針葉樹_すぎ,針葉樹_ひのき,針葉樹_もみ・つが,針葉樹_からまつ,針葉樹_えぞまつ・とどまつ,針葉樹_その他,広葉樹_計,広葉樹_なら,広葉樹_ぶな,広葉樹_その他
1962,北海道,9737.0,5027.0,2.0,35.0,0.0,0.0,,4861.0,129.0,4710.0,568.0,306.0,3836.0
1962,千葉県,363.0,352.0,169.0,159.0,18.0,3.0,,1.0,2.0,11.0,0.0,1.0,10.0
1962,和歌山県,849.0,782.0,134.0,376.0,208.0,62.0,,0.0,2.0,67.0,1.0,9.0,57.0
1962,埼玉県,306.0,251.0,25.0,126.0,51.0,45.0,,1.0,3.0,55.0,2.0,13.0,40.0
1962,大分県,1005.0,859.0,252.0,480.0,104.0,21.0,,0.0,2.0,146.0,3.0,2.0,141.0
1962,大阪府,90.0,88.0,49.0,23.0,13.0,1.0,,1.0,1.0,2.0,,0.0,2.0
1962,奈良県,1191.0,1113.0,165.0,554.0,321.0,68.0,,1.0,4.0,78.0,2.0,12.0,64.0
1962,宮城県,713.0,566.0,178.0,336.0,36.0,7.0,,6.0,3.0,147.0,4.0,34.0,109.0
1962,宮崎県,1451.0,938.0,273.0,460.0,88.0,112.0,,1.0,4.0,513.0,4.0,4.0,505.0
1962,富山県,242.0,169.0,38.0,122.0,3.0,1.0,,0.0,5.0,73.0,2.0,39.0,32.0
1962,山口県,951.0,726.0,508.0,149.0,67.0,1.0,,,1.0,225.0,3.0,1.0,221.0
1962,山形県,660.0,432.0,85.0,322.0,4.0,0.0,,14.0,7.0,228.0,5.0,152.0,71.0
1962,山梨県,595.0,459.0,114.0,62.0,62.0,152.0,,45.0,24.0,136.0,12.0,16.0,108.0
1962,岐阜県,1555.0,989.0,258.0,250.0,293.0,95.0,,5.0,88.0,566.0,48.0,219.0,299.0
1962,岡山県,666.0,589.0,322.0,145.0,117.0,2.0,,3.0,0.0,77.0,8.0,11.0,58.0
1962,岩手県,1769.0,1021.0,530.0,404.0,23.0,0.0,,55.0,9.0,748.0,56.0,171.0,521.0
1962,島根県,824.0,556.0,387.0,130.0,35.0,1.0,,1.0,2.0,268.0,8.0,14.0,246.0
1962,広島県,1322.0,1121.0,811.0,199.0,100.0,7.0,,1.0,3.0,201.0,6.0,12.0,183.0
1962,徳島県,643.0,502.0,96.0,297.0,72.0,29.0,,0.0,8.0,141.0,4.0,30.0,107.0
1962,愛媛県,971.0,814.0,304.0,294.0,184.0,26.0,,3.0,3.0,157.0,6.0,15.0,136.0
1962,愛知県,793.0,767.0,151.0,322.0,252.0,24.0,,10.0,8.0,26.0,2.0,4.0,20.0
1962,新潟県,844.0,705.0,188.0,505.0,3.0,0.0,,5.0,4.0,139.0,7.0,68.0,64.0
1962,東京都,161.0,144.0,11.0,87.0,32.0,11.0,,1.0,2.0,17.0,1.0,2.0,14.0
1962,栃木県,727.0,626.0,107.0,324.0,128.0,36.0,,18.0,13.0,101.0,17.0,32.0,52.0
1962,沖縄県,,,,,,,,,,,,,
1962,滋賀県,381.0,360.0,170.0,138.0,47.0,4.0,,0.0,1.0,21.0,0.0,6.0,15.0
1962,熊本県,1314.0,981.0,234.0,468.0,223.0,49.0,,2.0,5.0,333.0,5.0,8.0,320.0
1962,石川県,484.0,460.0,133.0,249.0,15.0,9.0,,2.0,52.0,24.0,0.0,5.0,19.0
1962,神奈川県,125.0,120.0,33.0,54.0,27.0,4.0,,0.0,2.0,5.0,0.0,1.0,4.0
1962,福井県,419.0,322.0,90.0,211.0,16.0,2.0,,2.0,1.0,97.0,9.0,45.0,43.0
1962,福岡県,752.0,627.0,185.0,331.0,108.0,2.0,,1.0,0.0,125.0,1.0,0.0,124.0
1962,福島県,1413.0,959.0,317.0,500.0,78.0,25.0,,27.0,12.0,454.0,38.0,197.0,219.0
1962,秋田県,1851.0,1416.0,89.0,1267.0,11.0,0.0,,16.0,33.0,435.0,20.0,277.0,138.0
1962,群馬県,751.0,537.0,67.0,251.0,69.0,24.0,,107.0,19.0,214.0,19.0,77.0,118.0
1962,茨城県,649.0,594.0,218.0,272.0,102.0,1.0,,0.0,1.0,55.0,3.0,4.0,48.0
1962,長崎県,388.0,298.0,168.0,78.0,50.0,1.0,,,1.0,90.0,0.0,0.0,90.0
1962,長野県,1938.0,1514.0,349.0,134.0,161.0,218.0,,435.0,217.0,424.0,38.0,92.0,294.0
1962,青森県,1253.0,1012.0,247.0,480.0,7.0,0.0,,17.0,261.0,241.0,10.0,104.0,127.0
1962,静岡県,1604.0,1447.0,199.0,697.0,428.0,113.0,,6.0,4.0,157.0,5.0,24.0,128.0
1962,香川県,127.0,124.0,97.0,8.0,19.0,0.0,,,0.0,3.0,,,3.0
1962,高知県,1172.0,903.0,206.0,276.0,214.0,198.0,,1.0,8.0,269.0,3.0,29.0,237.0
1962,鳥取県,469.0,362.0,151.0,164.0,43.0,1.0,,3.0,0.0,107.0,6.0,24.0,77.0
1962,鹿児島県,1352.0,897.0,354.0,354.0,164.0,22.0,,0.0,3.0,455.0,0.0,0.0,455.0
1963,三重県,1138.0,1052.0,201.0,527.0,284.0,34.0,,1.0,5.0,86.0,3.0,3.0,90.0
1963,京都府,707.0,621.0,247.0,240.0,118.0,12.0,,2.0,2.0,86.0,3.0,6.0,77.0
1963,佐賀県,314.0,227.0,76.0,92.0,59.0,0.0,,,0.0,87.0,0.0,0.0,87.0
1963,全国,50193.0,35622.0,8963.0,13138.0,4878.0,1535.0,,5991.0,1117.0,14571.0,1012.0,2206.0,11353.0
1963,兵庫県,851.0,777.0,332.0,313.0,116.0,14.0,,,2.0,74.0,3.0,11.0,60.0
1963,北海道,10119.0,5335.0,4.0,36.0,0.0,3.0,,5121.0,171.0,4784.0,614.0,295.0,3875.0
1963,千葉県,363.0,347.0,165.0,153.0,20.0,4.0,,3.0,2.0,16.0,0.0,0.0,16.0
1963,和歌山県,808.0,728.0,119.0,353.0,198.0,54.0,,0.0,4.0,80.0,0.0,4.0,76.0
1963,埼玉県,355.0,285.0,27.0,131.0,54.0,55.0,,12.0,6.0,70.0,4.0,10.0,56.0
1963,大分県,1041.0,855.0,218.0,502.0,102.0,31.0,,1.0,1.0,186.0,3.0,4.0,179.0
1963,大阪府,91.0,86.0,45.0,23.0,14.0,4.0,,,0.0,5.0,0.0,,5.0
1963,奈良県,1118.0,1026.0,158.0,492.0,301.0,68.0,,1.0,6.0,92.0,7.0,14.0,71.0
1963,宮城県,775.0,587.0,204.0,322.0,43.0,10.0,,4.0,4.0,188.0,2.0,45.0,141.0
1963,宮崎県,1687.0,1010.0,297.0,484.0,105.0,122.0,,0.0,2.0,677.0,9.0,7.0,661.0
1963,富山県,259.0,179.0,38.0,128.0,3.0,1.0,,3.0,6.0,80.0,1.0,45.0,34.0
1963,山口県,917.0,652.0,432.0,154.0,62.0,1.0,,2.0,1.0,265.0,7.0,1.0,257.0
1963,山形県,638.0,386.0,71.0,293.0,5.0,0.0,,13.0,4.0,252.0,12.0,163.0,77.0
1963,山梨県,667.0,471.0,116.0,64.0,62.0,167.0,,48.0,14.0,196.0,12.0,15.0,169.0
1963,岐阜県,1792.0,1064.0,253.0,291.0,307.0,105.0,,10.0,98.0,728.0,54.0,244.0,430.0
1963,岡山県,678.0,598.0,328.0,145.0,121.0,1.0,,2.0,1.0,80.0,6.0,11.0,63.0
1963,岩手県,1886.0,1019.0,518.0,391.0,38.0,1.0,,58.0,13.0,867.0,45.0,213.0,609.0
1963,島根県,955.0,547.0,351.0,149.0,45.0,2.0,,,0.0,408.0,12.0,11.0,385.0
1963,広島県,1473.0,1102.0,791.0,206.0,96.0,6.0,,0.0,3.0,371.0,8.0,9.0,354.0
1963,徳島県,682.0,522.0,96.0,303.0,78.0,38.0,,,7.0,160.0,3.0,21.0,136.0
1963,愛媛県,960.0,780.0,285.0,272.0,188.0,34.0,,0.0,1.0,180.0,5.0,13.0,162.0
1963,愛知県,795.0,763.0,149.0,325.0,254.0,25.0,,4.0,6.0,32.0,1.0,1.0,30.0
1963,新潟県,782.0,634.0,155.0,466.0,4.0,0.0,,5.0,4.0,148.0,6.0,60.0,82.0
